"mtry","ntree","nodesize","oob"
5,500,3,0.169102591258914
5,500,5,0.167125608981148
5,500,7,0.168820165219233
5,1000,3,0.168608345689473
5,1000,5,0.168325919649792
5,1000,7,0.169455623808515
5,1200,3,0.16790228059027
5,1200,5,0.168255313139871
5,1200,7,0.16790228059027
9,500,3,0.170302901927558
9,500,5,0.170161688907717
9,500,7,0.1711501800466
9,1000,3,0.171361999576361
9,1000,5,0.171644425616042
9,1000,7,0.168820165219233
9,1200,3,0.171361999576361
9,1200,5,0.170726540987079
9,1200,7,0.170444114947398
12,500,3,0.172844736284685
12,500,5,0.171644425616042
12,500,7,0.170444114947398
12,1000,3,0.172562310245005
12,1000,5,0.172279884205324
12,1000,7,0.171291393066441
12,1200,3,0.173550801383888
12,1200,5,0.172350490715244
12,1200,7,0.171644425616042
